date,open,high,low,close,volume
11/07/06,16.593,16.593,16.1457,16.4013,88676300
12/07/06,16.1812,16.2451,16.0605,16.0747,77379300
13/07/06,15.883,16.0534,15.7978,15.8049,73099500
14/07/06,15.8191,16.0108,15.7836,15.8262,67499400
17/07/06,15.8262,16.0534,15.8049,15.9611,37053500
18/07/06,16.0392,16.1599,15.9611,16.1457,65047300
19/07/06,16.2025,16.6569,16.1315,16.6143,82188200
20/07/06,16.6392,16.6498,16.1741,16.2238,76605200
21/07/06,17.0971,17.1468,16.3303,16.948,175483800
24/07/06,17.0474,17.1185,16.8912,17.0403,59586700
25/07/06,17.0403,17.2462,16.9693,17.1965,60075800
26/07/06,17.1255,17.4166,17.1113,17.303,54942100
27/07/06,17.4521,17.4663,16.877,16.948,85386800
28/07/06,17.0971,17.2391,17.0829,17.2178,51705800
31/07/06,17.09,17.3385,17.0474,17.0829,40254400
01/08/06,17.0545,17.1824,16.9338,17.0332,49168700
02/08/06,17.1255,17.3244,17.0616,17.2533,46462000
03/08/06,17.1717,17.3811,17.1468,17.1894,43155300
04/08/06,17.3243,17.3883,17.1468,17.2462,45690400
07/08/06,17.2391,17.3811,17.1752,17.1965,36862400
08/08/06,17.3172,17.4095,17.1823,17.2817,58171300
09/08/06,17.3882,17.4947,17.2817,17.3527,44405700
10/08/06,17.303,17.4663,17.2817,17.3669,31753400
11/08/06,17.303,17.3598,17.1823,17.3456,30255500
14/08/06,17.4095,17.4663,17.2888,17.4166,47831900
15/08/06,17.4946,17.5658,17.4162,17.5444,48994500
16/08/06,17.5373,17.6228,17.4376,17.6015,52373600
17/08/06,17.6015,17.6371,17.5373,17.6015,45674800
18/08/06,17.8509,18.3853,17.801,18.3782,128414800
21/08/06,18.2856,18.6205,18.2143,18.6134,88398300
22/08/06,18.535,18.7061,18.2571,18.2571,89312400
23/08/06,18.2749,18.4922,18.1858,18.2927,44648500
24/08/06,18.3996,18.4281,18.1715,18.3426,35933300
25/08/06,18.3212,18.5278,18.3069,18.421,33115900
28/08/06,18.4138,18.5278,18.3069,18.4922,34190900
29/08/06,18.4708,18.5136,18.2642,18.4138,42711200
30/08/06,18.421,18.4495,18.2713,18.3853,30283100
31/08/06,18.4352,18.5136,18.2998,18.3141,26380500
01/09/06,18.4495,18.5065,18.2713,18.4138,31594600
05/09/06,18.3069,18.4993,18.2143,18.2499,44222400
06/09/06,18.1787,18.3283,18.1787,18.2499,50160400
07/09/06,18.1573,18.3141,18.0932,18.1217,51266900
08/09/06,18.1929,18.3782,18.143,18.2428,36866800
11/09/06,18.1217,18.4922,18.1145,18.4637,55608200
12/09/06,18.4566,18.5137,18.3282,18.478,52248800
13/09/06,18.3996,18.5991,18.1644,18.5136,37706700
14/09/06,18.5207,18.8842,18.5136,18.763,74324500
15/09/06,18.9412,19.1977,18.877,19.1336,126057700
18/09/06,19.0552,19.269,19.0053,19.0908,49135000
19/09/06,19.0552,19.1977,19.0409,19.1407,43039100
20/09/06,19.2476,19.4044,19.2333,19.3687,71676400
21/09/06,19.4115,19.4186,19.1336,19.1692,58495100
22/09/06,19.1193,19.1336,18.8699,18.9982,47712500
25/09/06,19.1051,19.3759,19.0908,19.2048,67903900
26/09/06,19.1763,19.4685,19.1549,19.383,54766500
27/09/06,19.3687,19.5754,19.326,19.554,66233900
28/09/06,19.5754,19.611,19.4257,19.5255,44179700
29/09/06,19.4899,19.5398,19.3901,19.4899,34283500
02/10/06,19.4685,19.5896,19.3473,19.497,52908100
03/10/06,19.5041,19.5825,19.3901,19.5041,39386200
04/10/06,19.5184,19.9246,19.5041,19.9103,82191200
05/10/06,19.8961,20.0315,19.7963,19.8961,81967200
06/10/06,19.782,19.9532,19.7037,19.8604,36452200
09/10/06,19.8105,19.9032,19.6823,19.7535,33366300
10/10/06,19.7322,19.7749,19.554,19.7322,34598500
11/10/06,19.5683,19.7179,19.5398,19.6253,37219600
12/10/06,19.6538,20.1597,19.6253,20.1098,120174900
13/10/06,20.1954,20.4448,20.174,20.2167,129751900
16/10/06,20.2951,20.3806,20.1882,20.2737,49744800
17/10/06,20.1241,20.3165,20.0742,20.2666,40122600
18/10/06,20.3094,20.452,20.1383,20.3236,40630800
19/10/06,20.2025,20.2745,20.0386,20.1597,44730800
20/10/06,20.2951,20.3022,20.0742,20.2595,48887800
23/10/06,20.1668,20.4448,20.0813,20.2737,48525000
24/10/06,20.2595,20.2595,20.0457,20.1526,61409600
25/10/06,20.1526,20.2809,20.0528,20.174,40717100
26/10/06,20.1882,20.2452,19.9816,20.2025,69964200
27/10/06,20.3022,20.516,20.1312,20.1954,89060100
30/10/06,20.2025,20.5517,20.1811,20.3307,47296800
31/10/06,20.4234,20.5589,20.3521,20.459,61861700
01/11/06,20.5089,20.6585,20.4519,20.5303,75895900
02/11/06,20.459,20.5659,20.3664,20.5018,58674400
03/11/06,20.5588,20.6158,20.3878,20.4733,41124500
06/11/06,20.5018,20.7013,20.4946,20.5517,60446200
07/11/06,20.5659,20.7156,20.5231,20.63,56511200
08/11/06,20.5089,20.8296,20.4234,20.6514,77403300
09/11/06,20.7441,20.9507,20.6657,20.851,89407500
10/11/06,20.7868,20.8723,20.7726,20.8367,37855100
13/11/06,20.8011,20.9935,20.7797,20.9151,47271800
14/11/06,20.9366,21.0367,20.7864,20.8998,63012500
15/11/06,20.8258,20.9939,20.815,20.8222,63943200
16/11/06,20.8329,21.194,20.8293,21.0725,64328500
17/11/06,20.958,21.1225,20.9366,21.0224,49356700
20/11/06,21.1082,21.4514,21.0939,21.3728,85703800
21/11/06,21.3871,21.4515,21.3013,21.3942,66446600
22/11/06,21.43,21.4514,21.3227,21.3942,43907200
24/11/06,21.2083,21.337,21.194,21.2798,20456700
27/11/06,21.2298,21.2655,20.9723,21.0796,72722100
28/11/06,20.9795,21.0367,20.8293,21.0152,52602300
29/11/06,21.051,21.2941,21.0438,21.144,58775100
30/11/06,21.0367,21.144,20.9694,20.9938,53297400
01/12/06,20.9008,20.9509,20.6648,20.8222,72257000
04/12/06,20.9008,21.1082,20.8579,20.9723,55123400
05/12/06,20.9938,21.0224,20.7578,20.8293,45606000
06/12/06,20.8043,20.8293,20.6434,20.7292,48564100
07/12/06,20.7078,20.7864,20.6005,20.6291,46831100
08/12/06,20.6077,21.0224,20.5934,21.0224,108854900
11/12/06,20.8722,21.2727,20.815,21.1225,107712000
12/12/06,21.1368,21.1869,20.8937,21.0438,68529400
13/12/06,21.1654,21.1654,20.9652,21.1297,46002500
14/12/06,21.1189,21.5087,21.1082,21.5015,85866500
15/12/06,21.5515,21.6159,21.4729,21.5873,102783700
18/12/06,21.5873,21.6373,21.2941,21.3728,56986800
19/12/06,21.2441,21.573,21.1154,21.4443,53822100
20/12/06,21.4443,21.623,21.43,21.5158,31202100
21/12/06,21.5444,21.5515,21.3728,21.4371,32270500
22/12/06,21.3263,21.3513,21.1797,21.194,37971700
26/12/06,21.1154,21.4514,21.0224,21.4443,37098300
27/12/06,21.4443,21.5444,21.3871,21.4657,31248400
28/12/06,21.3513,21.4729,21.3156,21.4371,26690600
29/12/06,21.3513,21.5587,21.3299,21.3513,41739800
03/01/07,21.3871,21.6302,21.0224,21.3513,76935100
04/01/07,21.2369,21.43,21.051,21.3156,45774500
05/01/07,21.1869,21.2727,21.0581,21.194,44607200
08/01/07,21.2012,21.5229,21.1154,21.4014,50220200
09/01/07,21.4514,21.5801,21.2584,21.4228,44636600
10/01/07,21.3084,21.3728,21.0438,21.2083,55017400
11/01/07,21.2798,21.9877,21.2011,21.952,99464300
12/01/07,21.9162,22.4453,21.9091,22.3166,103972500
16/01/07,22.3524,22.4882,22.1879,22.2809,62379600
17/01/07,22.3524,22.4811,22.1736,22.238,58519600
18/01/07,22.2737,22.431,22.0235,22.1665,56364300
19/01/07,21.9734,22.2451,21.9448,22.2451,75826900
22/01/07,22.2094,22.2523,21.8161,21.9663,56143900
23/01/07,21.9019,22.1379,21.8233,21.9806,49171200
24/01/07,22.0092,22.381,21.9162,22.2308,58527800
25/01/07,22.2237,22.5097,21.7732,21.7732,97378700
26/01/07,22.3238,22.3309,21.8805,21.8805,96103700
29/01/07,21.9162,22.0092,21.6945,21.8304,57605900
30/01/07,21.859,21.9091,21.5515,21.7946,61900400
31/01/07,21.7446,22.238,21.7017,22.0664,73968400
01/02/07,22.0521,22.1236,21.716,21.8519,55355800
02/02/07,22.0378,22.0521,21.5444,21.5873,60401700
05/02/07,21.43,21.4657,21.0295,21.1726,99102100
06/02/07,21.1583,21.2727,20.8937,21.1011,79281100
07/02/07,21.194,21.2369,20.9151,21.0009,65145500
08/02/07,20.908,21.3084,20.8794,20.9223,48749000
09/02/07,20.9866,21.0224,20.6863,20.7221,69823100
12/02/07,20.6577,20.8007,20.6148,20.6935,52774400
13/02/07,20.8366,20.9514,20.7792,20.815,50348100
14/02/07,20.9298,21.3029,20.9155,21.0949,55588600
15/02/07,21.224,21.2742,20.9657,21.1379,63858100
16/02/07,20.7397,20.7648,20.5567,20.6213,109340300
20/02/07,20.5424,20.7074,20.4276,20.6859,53978200
21/02/07,20.6285,21.0877,20.6213,21.059,68604900
22/02/07,21.0267,21.1953,20.9227,21.0877,57754400
23/02/07,20.9657,21.0088,20.7289,20.7361,63787100
26/02/07,20.7792,20.894,20.6787,20.8581,63481900
27/02/07,20.5998,20.7863,19.9397,19.9971,87143300
28/02/07,20.0545,20.2697,20.0329,20.2123,86333300
01/03/07,19.9612,20.3271,19.8966,20.1549,80175700
02/03/07,20.1047,20.2051,19.9181,19.9181,63254700
05/03/07,19.7244,20.0258,19.667,19.7674,56454300
06/03/07,19.9468,20.0473,19.8392,19.9684,49361800
07/03/07,19.9181,20.0186,19.7675,19.8105,52044700
08/03/07,19.8894,19.9827,19.0858,19.6024,72175200
09/03/07,19.6742,19.7172,19.3944,19.5737,80125000
12/03/07,19.502,19.7172,19.4661,19.6885,36516400
13/03/07,19.5522,19.6598,19.1648,19.1719,75169500
